movie_id,title,ranking,release_year,length,rating,vote_count,certificate,description
tt0119698,Princess Mononoke,82,1997,2:13:00,8.3,447950,PG-13,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
tt5311514,Your Name.,83,2016,1:46:00,8.4,340508,No rating,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
tt0057565,High and Low,84,1963,2:23:00,8.4,56898,Not Rated,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
tt7286456,Joker,85,2019,2:02:00,8.4,1565034,R,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City."
tt1187043,3 Idiots,86,2009,2:50:00,8.4,447763,PG-13,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
tt0087843,Once Upon a Time in America,87,1984,3:49:00,8.3,386921,R,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
tt0045152,Singin' in the Rain,88,1952,1:43:00,8.3,267403,G,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
tt8267604,Capernaum,89,2018,2:06:00,8.4,111496,R,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
tt0091251,Come and See,90,1985,2:22:00,8.3,105075,Not Rated,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
tt0180093,Requiem for a Dream,91,2000,1:42:00,8.3,921376,NC-17,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
tt0435761,Toy Story 3,92,2010,1:43:00,8.3,914055,G,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
tt0086190,Star Wars: Episode VI - Return of the Jedi,93,1983,2:11:00,8.3,1145460,PG,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side."
tt2106476,The Hunt,94,2012,1:55:00,8.3,376827,R,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
tt0338013,Eternal Sunshine of the Spotless Mind,95,2004,1:48:00,8.3,1109607,R,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
tt0044741,Ikiru,96,1952,2:23:00,8.3,92286,Not Rated,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
tt0062622,2001: A Space Odyssey,97,1968,2:29:00,8.3,738547,G,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins."
tt0105236,Reservoir Dogs,98,1992,1:39:00,8.3,1113564,R,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
tt0056172,Lawrence of Arabia,99,1962,3:47:00,8.3,322861,PG,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
tt0053604,The Apartment,100,1960,2:05:00,8.3,202753,Approved,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters."
tt1255953,Incendies,101,2010,2:11:00,8.3,215270,R,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
tt0086250,Scarface,102,1983,2:50:00,8.3,942717,R,"Miami in the 1980s: a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Florida, and is eventually undone by his own drug addiction."
tt0053125,North by Northwest,103,1959,2:16:00,8.3,354371,Approved,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
tt0036775,Double Indemnity,104,1944,1:47:00,8.3,171620,Approved,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator."
tt0033467,Citizen Kane,105,1941,1:59:00,8.3,474767,PG,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
tt0022100,M,106,1931,1:39:00,8.3,173660,Passed,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
tt0113277,Heat,107,1995,2:50:00,8.3,738389,R,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
tt0052357,Vertigo,108,1958,2:08:00,8.3,437611,PG,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
tt0093058,Full Metal Jacket,109,1987,1:56:00,8.2,808315,R,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
tt15398776,Oppenheimer,110,2023,3:00:00,8.3,821599,R,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
tt1049413,Up,111,2009,1:36:00,8.3,1156426,PG,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway."
